SampleID	external_name	samples	samples_1	site_sample	Type	problem_samples	Population
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical
22Feb279-DL074	E007408_74	M25/1/2	M25/1	site_M25	polyp	normal	M25
22Feb279-DL075	E007408_75	M25/1/4	M25/1	site_M25	polyp	problem	M25
22Feb279-DL076	E007408_76	M25/1/5	M25/1	site_M25	polyp	problem	M25
22Feb279-DL077	E007408_77	M25/2/1	M25/2	site_M25	polyp	normal	M25
22Feb279-DL078	E007408_78	M25/2/2	M25/2	site_M25	polyp	normal	M25
22Feb279-DL079	E007408_79	M25/2/3	M25/2	site_M25	polyp	problem	M25
22Feb279-DL080	E007408_80	M25/2/5	M25/2	site_M25	polyp	normal	M25
22Feb279-DL081	E007408_81	M25/2/7	M25/2	site_M25	polyp	normal	M25
22Feb279-DL082	E007408_82	M25/3/1	M25/3	site_M25	polyp	normal	M25
22Feb279-DL083	E007408_83	M25/3/2	M25/3	site_M25	polyp	normal	M25
22Feb279-DL084	E007408_84	M25/3/7	M25/3	site_M25	polyp	normal	M25
22Feb279-DL085	E007408_85	M25/3/8	M25/3	site_M25	polyp	normal	M25
22Feb279-DL086	E007408_86	M26/1/4	M26/1	site_M26	polyp	problem	M26
22Feb279-DL087	E007408_87	M26/1/5	M26/1	site_M26	polyp	problem	M26
22Feb279-DL088	E007408_88	M26/1/8	M26/1	site_M26	polyp	problem	M26
22Feb279-DL089	E007408_89	M26/1/9	M26/1	site_M26	polyp	normal	M26
22Feb279-DL090	E007408_90	M26/2/5	M26/2	site_M26	polyp	problem	M26
22Feb279-DL091	E007408_91	M26/2/6	M26/2	site_M26	polyp	problem	M26
22Feb279-DL092	E007408_92	M26/2/7	M26/2	site_M26	polyp	problem	M26
22Feb279-DL093	E007408_93	M26/2/8	M26/2	site_M26	polyp	problem	M26
22Feb279-DL094	E007408_94	M26/2/9	M26/2	site_M26	polyp	problem	M26
22Feb279-DL095	E007408_95	M26/3/1	M26/3	site_M26	polyp	normal	M26
22Feb279-DL096	E007409_1	M26/3/3	M26/3	site_M26	polyp	normal	M26
22Feb279-DL097	E007409_2	M26/3/4	M26/3	site_M26	polyp	normal	M26
22Feb279-DL098	E007409_3	M28/1/1	M28/1	site_M28	polyp	normal	M28
22Feb279-DL099	E007409_4	M28/1/3	M28/1	site_M28	polyp	normal	M28
22Feb279-DL100	E007409_5	M28/1/4	M28/1	site_M28	polyp	normal	M28
22Feb279-DL101	E007409_6	M28/1/5	M28/1	site_M28	polyp	normal	M28
22Feb279-DL102	E007409_7	M28/2/2	M28/2	site_M28	polyp	normal	M28
22Feb279-DL103	E007409_8	M28/2/4	M28/2	site_M28	polyp	normal	M28
22Feb279-DL104	E007409_9	M28/2/5	M28/2	site_M28	polyp	normal	M28
22Feb279-DL105	E007409_10	M28/2/6	M28/2	site_M28	polyp	normal	M28
22Feb279-DL106	E007409_11	M28/3/1	M28/3	site_M28	polyp	normal	M28
22Feb279-DL107	E007409_12	M28/3/2	M28/3	site_M28	polyp	normal	M28
22Feb279-DL108	E007409_13	M28/3/3	M28/3	site_M28	polyp	normal	M28
22Feb279-DL109	E007409_14	M28/3/5	M28/3	site_M28	polyp	normal	M28
22Feb279-DL110	E007409_15	M38/1/1	M38/1	site_M38	polyp	normal	M38
22Feb279-DL111	E007409_16	M38/1/4	M38/1	site_M38	polyp	normal	M38
22Feb279-DL112	E007409_17	M38/1/5	M38/1	site_M38	polyp	normal	M38
22Feb279-DL113	E007409_18	M38/1/7	M38/1	site_M38	polyp	normal	M38
22Feb279-DL114	E007409_19	M38/2/1	M38/2	site_M38	polyp	normal	M38
22Feb279-DL115	E007409_20	M38/2/2	M38/2	site_M38	polyp	normal	M38
22Feb279-DL116	E007409_21	M38/2/5	M38/2	site_M38	polyp	normal	M38
22Feb279-DL117	E007409_22	M38/2/9	M38/2	site_M38	polyp	normal	M38
22Feb279-DL118	E007409_23	M38/3/2	M38/3	site_M38	polyp	normal	M38
22Feb279-DL119	E007409_24	M38/3/4	M38/3	site_M38	polyp	normal	M38
22Feb279-DL120	E007409_25	M38/3/6	M38/3	site_M38	polyp	normal	M38
22Feb279-DL121	E007409_26	M38/3/8	M38/3	site_M38	polyp	normal	M38
22Feb279-DL122	E007409_27	M44/1/1	M44/1	site_M44	polyp	normal	M44
22Feb279-DL123	E007409_28	M44/1/3	M44/1	site_M44	polyp	normal	M44
22Feb279-DL124	E007409_29	M44/1/7	M44/1	site_M44	polyp	normal	M44
22Feb279-DL125	E007409_30	M44/1/8	M44/1	site_M44	polyp	normal	M44
22Feb279-DL126	E007409_31	M44/2/1	M44/2	site_M44	polyp	normal	M44
22Feb279-DL127	E007409_32	M44/2/2	M44/2	site_M44	polyp	normal	M44
22Feb279-DL128	E007409_33	M44/2/7	M44/2	site_M44	polyp	normal	M44
22Feb279-DL129	E007409_34	M44/2/8	M44/2	site_M44	polyp	normal	M44
22Feb279-DL130	E007409_35	M44/3/2	M44/3	site_M44	polyp	normal	M44
22Feb279-DL131	E007409_36	M44/3/3	M44/3	site_M44	polyp	normal	M44
22Feb279-DL132	E007409_37	M44/3/4	M44/3	site_M44	polyp	normal	M44
22Feb279-DL133	E007409_38	M44/3/12	M44/3	site_M44	polyp	normal	M44
22Feb279-DL134	E007409_39	M47/1/1	M47/1	site_M47	polyp	normal	M47
22Feb279-DL135	E007409_40	M47/1/3	M47/1	site_M47	polyp	normal	M47
22Feb279-DL136	E007409_41	M47/1/4	M47/1	site_M47	polyp	normal	M47
22Feb279-DL137	E007409_42	M47/1/7	M47/1	site_M47	polyp	normal	M47
22Feb279-DL138	E007409_43	M47/1/11	M47/1	site_M47	polyp	normal	M47
22Feb279-DL139	E007409_44	M47/2/1	M47/2	site_M47	polyp	normal	M47
22Feb279-DL140	E007409_45	M47/2/3	M47/2	site_M47	polyp	normal	M47
22Feb279-DL141	E007409_46	M47/2/5	M47/2	site_M47	polyp	normal	M47
22Feb279-DL142	E007409_47	M47/2/7	M47/2	site_M47	polyp	normal	M47
22Feb279-DL143	E007409_48	M47/3/2	M47/3	site_M47	polyp	normal	M47
22Feb279-DL144	E007409_49	M47/3/3	M47/3	site_M47	polyp	problem	M47
22Feb279-DL145	E007409_50	M47/3/4	M47/3	site_M47	polyp	normal	M47
22Feb279-DL146	E007409_51	M47/3/5	M47/3	site_M47	polyp	normal	M47
22Feb279-DL147	E007409_52	M47/3/6	M47/3	site_M47	polyp	normal	M47
22Feb279-DL148	E007409_53	M47/3/7	M47/3	site_M47	polyp	normal	M47
22Feb279-DL149	E007409_54	M47/3/8	M47/3	site_M47	polyp	normal	M47
22Feb279-DL150	E007409_55	M52/1/1	M52/1	site_M52	polyp	normal	M52
22Feb279-DL151	E007409_56	M52/1/9	M52/1	site_M52	polyp	normal	M52
22Feb279-DL152	E007409_57	M52/1/10	M52/1	site_M52	polyp	normal	M52
22Feb279-DL153	E007409_58	M52/1/11	M52/1	site_M52	polyp	normal	M52
22Feb279-DL154	E007409_59	M52/1/14	M52/1	site_M52	polyp	normal	M52
22Feb279-DL155	E007409_60	M52/2/1	M52/2	site_M52	polyp	normal	M52
22Feb279-DL156	E007409_61	M52/2/3	M52/2	site_M52	polyp	problem	M52
22Feb279-DL157	E007409_62	M52/2/4	M52/2	site_M52	polyp	normal	M52
22Feb279-DL158	E007409_63	M52/2/6	M52/2	site_M52	polyp	normal	M52
22Feb279-DL159	E007409_64	M52/3/1	M52/3	site_M52	polyp	normal	M52
22Feb279-DL160	E007409_65	M52/3/2	M52/3	site_M52	polyp	normal	M52
22Feb279-DL161	E007409_66	M52/3/3	M52/3	site_M52	polyp	normal	M52
22Feb279-DL162	E007409_67	M52/3/4	M52/3	site_M52	polyp	problem	M52
22Feb279-DL163	E007409_68	M52/3/6	M52/3	site_M52	polyp	normal	M52
22Feb279-DL164	E007409_69	M52/3/7	M52/3	site_M52	polyp	normal	M52
22Feb279-DL165	E007409_70	M52/3/10	M52/3	site_M52	polyp	normal	M52
22Feb279-DL166	E007409_71	M84/1/1	M84/1	site_M84	polyp	normal	M84
22Feb279-DL167	E007409_72	M84/1/4	M84/1	site_M84	polyp	normal	M84
22Feb279-DL168	E007409_73	M84/1/6	M84/1	site_M84	polyp	normal	M84
22Feb279-DL169	E007409_74	M84/2/1	M84/2	site_M84	polyp	normal	M84
22Feb279-DL170	E007409_75	M84/2/2	M84/2	site_M84	polyp	problem	M84
22Feb279-DL171	E007409_76	M84/2/3	M84/2	site_M84	polyp	problem	M84
22Feb279-DL172	E007409_77	M84/2/8	M84/2	site_M84	polyp	normal	M84
22Feb279-DL173	E007409_78	M84/2/9	M84/2	site_M84	polyp	problem	M84
22Feb279-DL174	E007409_79	M84/3/1	M84/3	site_M84	polyp	problem	M84
22Feb279-DL175	E007409_80	M84/3/2	M84/3	site_M84	polyp	problem	M84
22Feb279-DL176	E007409_81	M84/3/7	M84/3	site_M84	polyp	problem	M84
22Feb279-DL177	E007409_82	M84/3/8	M84/3	site_M84	polyp	problem	M84
22Feb279-DL178	E007409_83	M85/1/6	M85/1	site_M85	polyp	normal	M85
22Feb279-DL179	E007409_84	M85/1/8	M85/1	site_M85	polyp	normal	M85
22Feb279-DL180	E007409_85	M85/1/9	M85/1	site_M85	polyp	normal	M85
22Feb279-DL181	E007409_86	M85/1/10	M85/1	site_M85	polyp	normal	M85
22Feb279-DL182	E007409_87	M85/2/1	M85/2	site_M85	polyp	problem	M85
22Feb279-DL183	E007409_88	M85/2/2	M85/2	site_M85	polyp	problem	M85
22Feb279-DL184	E007409_89	M85/2/3	M85/2	site_M85	polyp	problem	M85
22Feb279-DL185	E007409_90	M85/2/4	M85/2	site_M85	polyp	normal	M85
22Feb279-DL186	E007409_91	M85/3/1	M85/3	site_M85	polyp	problem	M85
22Feb279-DL187	E007409_92	M85/3/2	M85/3	site_M85	polyp	normal	M85
22Feb279-DL188	E007409_93	M85/3/4	M85/3	site_M85	polyp	problem	M85
22Feb279-DL189	E007409_94	M85/3/5	M85/3	site_M85	polyp	problem	M85
